symbol,rate_volatility,consecutive_positive_periods,oi_change_rate,coin_category,survival_rate
INXUSDT,0.0292,122,0.0214,niche_crypto,0.291
IRYSUSDT,0.167,172,-0.058,niche_crypto,0.366
JCTUSDT,0.0236,200,0.0071,sticky_coin,1.0
JELLYJELLYUSDT,0.0117,210,-0.001,sticky_coin,1.0
JTOUSDT,0.0587,10,-0.0029,niche_crypto,0.0
JUPUSDT,0.0055,17,0.0002,niche_crypto,0.0
KAIAUSDT,0.0047,80,-0.002,niche_crypto,0.0
KAITOUSDT,0.007,15,0.0005,niche_crypto,0.0
KITEUSDT,0.0084,244,-0.001,sticky_coin,0.917
LABUSDT,0.0527,220,-0.0044,sticky_coin,0.78
LAYERUSDT,0.1371,48,-0.0301,niche_crypto,0.0
LDOUSDT,0.0058,14,0.0001,niche_crypto,0.0
LINKUSDT,0.0069,28,0.0015,niche_crypto,0.0
LITUSDT,0.0016,122,-0.0,sticky_coin,0.284
LTCUSDT,0.0057,13,0.0006,niche_crypto,0.0
LYNUSDT,0.0428,89,0.009,sticky_coin,0.0
MAGMAUSDT,0.0185,200,-0.0066,sticky_coin,1.0
MBOXUSDT,0.0942,51,-0.0151,niche_crypto,0.0
MEGAUSDT,0.0417,70,-0.0031,niche_crypto,0.0
MITOUSDT,0.0999,89,-0.0484,niche_crypto,0.0
MLNUSDT,0.071,128,-0.0294,niche_crypto,0.287
MOVEUSDT,0.0874,21,-0.0004,niche_crypto,0.0
MSTRUSDT,0.2611,9,0.0305,niche_crypto,0.0
MUUSDT,0.1216,20,0.089,niche_crypto,0.0
NAORISUSDT,0.0245,230,0.0035,sticky_coin,0.979
NATGASUSDT,0.1029,38,-0.0183,niche_crypto,0.0
NEARUSDT,0.0096,12,0.0012,niche_crypto,0.0
NILUSDT,0.0235,101,-0.003,niche_crypto,0.109
NMRUSDT,0.0055,48,-0.0021,niche_crypto,0.0
NVDAUSDT,0.1231,35,0.0582,stock_perp,0.0
ONDOUSDT,0.0051,21,-0.0014,niche_crypto,0.0
ONTUSDT,0.1322,13,-0.0051,niche_crypto,0.0
OPENUSDT,0.0038,49,-0.0006,niche_crypto,0.0
OPGUSDT,0.0225,55,0.0306,niche_crypto,0.0
OPUSDT,0.0121,9,0.0045,niche_crypto,0.0
ORCAUSDT,0.0722,2,-0.0035,niche_crypto,0.0
ORDIUSDT,0.0094,22,-0.0002,niche_crypto,0.0
PARTIUSDT,0.0338,66,0.0192,niche_crypto,0.0
PAXGUSDT,0.0026,21,-0.0001,niche_crypto,0.0
